"Filename","Comment","nMarkers","nSpikes","nExtreme","nFinal","LI","se","lowCI","hiCI","lat","odd","even","exclusions","fmriID","fMRI_wg_whole","A_param1","A_param2","A_param3","A_param4","A_param5","A_LIest.se","A_p.interact","A_R2","A_AIC","A_BIC","B_param1","B_param2","B_param3","B_param4","B_param5","B_LIest.se","B_p.interact","B_R2","B_AIC","B_BIC","C_param1","C_param2","C_param3","C_param4","C_param5","C_LIest.se","C_p.interact","C_R2","C_AIC","C_BIC","D_param1","D_param2","D_param3","D_param4","D_param5","D_LIest.se","D_p.interact","D_R2","D_AIC","D_BIC","E_param1","E_param2","E_param3","E_param4","E_param5","E_LIest.se","E_p.interact","E_R2","E_AIC","E_BIC","F_param1","F_param2","F_param3","F_param4","F_param5","F_LIest.se","F_p.interact","F_R2","F_AIC","F_BIC","G_param1","G_param2","G_param3","G_param4","G_param5","G_LIest.se","G_p.interact","G_R2","G_AIC","G_BIC","H_param1","H_param2","H_param3","H_param4","H_param5","H_LIest.se","H_p.interact","H_R2","H_AIC","H_BIC","I_param1","I_param2","I_param3","I_param4","I_param5","I_LIest.se","I_p.interact","I_R2","I_AIC","I_BIC","J_param1","J_param2","J_param3","J_param4","J_param5","J_LIest.se","J_p.interact","J_R2","J_AIC","J_BIC","K_param1","K_param2","K_param3","K_param4","K_param5","K_LIest.se","K_p.interact","K_R2","K_AIC","K_BIC","L_param1","L_param2","L_param3","L_param4","L_param5","L_LIest.se","L_p.interact","L_R2","L_AIC","L_BIC","V137"
"013DAC1","x",23,3,0,23,0.877,0.474,-0.052,1.806,"bilat",1.156,0.573,0,NA,NA,105.570032259156,0.847384434384327,7.4393193017728,-0.172711648994689,-1.08842478392801,0.477640839463356,0.02,0.154676504922373,17830.8,17884.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.289981548042,0.856925756695356,7.42177955087645,-0.17270300182887,-1.09016589828479,0.466449615225771,0.02,0.191907289341695,17705,17818.3,102.273890256368,1.68983922821124,8.16625722623458,-0.172711648992182,-1.08842478391664,0.317647917823813,0,0.625219752167025,15674.8,16824.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.288918993775,1.06452030250222,7.42814490987169,-0.172711648994743,-1.08842478392799,0.42745736418651,0.01,0.321311836273252,17210.4,17351.3,102.435024246028,-0.502457633387317,0.0113588214852677,-0.838856692490713,0.332834365065196,0.01,0.605646986727363,15818.7,16957.7,NA,102.26905158433,1.75558719506395,8.23362658999728,-0.172711649004278,-1.08842478393034,0.279888595644103,0,0.709025403674136,14961.7,16180.7,102.409147376774,-0.406277994124208,0.0113588214817882,-0.838856692485383,0.295512563384769,0,0.689128620428322,15149.1,16356.6,NA,102.289985011584,0.856175399327302,7.42183262658562,-0.172711648994596,-1.08842478392802,0.469221026164868,0.02,0.182214137892351,17735,17823.8,102.288523400999,0.881537938202588,7.69124615594508,-0.169786701314539,-1.13939124686381,-0.538933511068159,0.777410598742868,0.49,0.19176521207191,17706.5,17825.8
"015DAC1","x",23,5,0,21,0.484,0.509,-0.514,1.482,"bilat",-0.006,1.022,0,NA,NA,108.108975022942,3.99130973224805,1.3004961948295,-0.887355634052596,-1.5011227231915,0.405843353553372,0,0.231358231679039,13956.8,14008.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.622068365327,3.97986488250126,1.27077189189532,-0.887196221304927,-1.51797945302853,0.39782547361854,0,0.259459152121961,13871.4,13993.1,102.370606398328,7.24425257883459,0.401690087786997,-0.887355634052574,-1.50112272319135,0.34852555496337,0,0.431498250136963,13365.7,14306.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.595345088411,7.21941215640629,0.736619768271741,-0.887355634052552,-1.50112272319153,0.385346082654301,0,0.305032576167387,13719.2,13852.5,101.915447253495,2.30102516877857,-0.583589434624144,-1.38239478537698,0.360864756920992,0,0.413192165191015,13439.6,14360.9,NA,102.88322320614,7.93228677527872,0.670010102769471,-0.887355634047588,-1.5011227231919,0.297303294567807,0,0.586322409943377,12617.8,13704.4,102.347844644838,2.65462146261608,-0.583589434602375,-1.38239478538993,0.309992353933285,0,0.566979030306747,12726,13796,NA,102.622152043159,3.97055850972155,1.27136323278133,-0.887355634052639,-1.50112272319147,0.40098058363953,0,0.247495262810262,13903.8,13988.3,102.627895523345,3.91202880127506,0.562870950634199,-0.898851183133643,-1.38229409991172,1.41587301207916,0.662519852365124,0.03,0.260555280452405,13868.8,13996.3
"024DAC1","x",23,4,0,22,1.337,0.431,0.492,2.182,"L",1.36,1.314,0,"024DAC1",0.75,109.829689828116,2.36018210215499,4.89125051113941,0.280035021747421,-1.83818621009355,0.569152878526597,0,0.132465259011155,20427.5,20481.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.97913781024,2.36533387863782,4.92184530604999,0.280047115262496,-1.83947194135956,0.56518156097494,0,0.142589530002885,20392.2,20493.3,102.029346152513,1.47226409642104,0.186909014866307,0.280035021855005,-1.8381862100304,0.409831775358137,0,0.549149447352965,18574.2,19634.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.012653670041,0.758824593549315,0.579923416821375,0.280035021747487,-1.83818621009363,0.527622639363694,0,0.252746090673152,19976.1,20112,101.951265211288,0.40839022990972,0.679634816658813,-1.83766883131028,0.418593074989003,0,0.5492717320036,18572.6,19628.1,NA,102.029340585692,1.25507316354282,0.229479379686075,0.280035021986865,-1.83818620998411,0.349646213556079,0,0.671845011581378,17618.6,18801.5,101.891418792588,0.664050235085173,0.679634816509187,-1.83766883125979,0.357168036612636,0,0.671847369059004,17617.7,18794.6,NA,101.9791429842,2.36467779072449,4.9220805455633,0.280035021747488,-1.83818621009359,0.565508677724584,0,0.141579859338547,20393.7,20481.6,101.98112654672,2.33041806917691,4.53016193964988,0.276069640722299,-1.76964038430864,0.783367242796708,0.955122658579721,0.41,0.142498834194837,20393.6,20500.6
"025DAC1","x",23,0,0,23,-0.878,0.424,-1.71,-0.047,"R",-0.798,-0.966,0,"025DAC1",0.56,105.947699238476,1.22147442041647,7.12459493692824,-0.21322353425839,0.585665349111642,0.554817696705088,0.29,0.189246205433956,15638.6,15690.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.914549844067,1.21284090299596,7.1198306554219,-0.213221794166487,0.584605700120913,0.552864645829472,0.29,0.192641122385763,15627.6,15717,101.886414712647,2.9916414169037,8.9754251983939,-0.213223534254739,0.58566534910635,0.36388183592401,0.11,0.650256034571988,13746.6,14880.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.903154554974,3.03741345802837,8.96256972312832,-0.213223534258335,0.585665349111598,0.436278930580932,0.18,0.49724319786821,14473.6,14611.7,101.558341973185,1.68911424212922,-0.305727227175656,0.420081349317154,0.378892247947295,0.27,0.637239592018899,13834.6,14958.1,NA,101.883940640931,2.7475224359992,9.00568445243183,-0.213223534258523,0.585665349111644,0.295540147141891,0.05,0.76929211079062,12739.6,13963.4,101.615803693496,1.42076895842783,-0.305727227130759,0.420081349343101,0.311238221547499,0.18,0.75522092339064,12881.9,14086.4,NA,101.914550683684,1.21231346903181,7.11983648361597,-0.213223534258389,0.585665349111662,0.553121380838216,0.29,0.191890210013964,15628.9,15712.4,101.913805764167,1.22691558637914,7.27801413372688,-0.211733651731182,0.556457680650663,-0.316363671861314,0.922001068851996,0.73,0.192348945518836,15629.5,15724.6
"033DAC1","x",23,5,0,22,4.172,0.478,3.235,5.109,"L",4.78,3.565,0,"033DAC1",0.8,104.444466301918,2.5296268613352,8.79521220993277,-0.303414871103363,-3.96888090941972,0.703718908835446,0,0.126344427958654,20874.2,20928.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.197332541307,2.49068421453223,8.70212103892124,-0.303401247684866,-3.96986391560043,0.688653606294443,0,0.16136480815666,20752.7,20845.4,103.020431547626,7.98380693280239,6.86759315670683,-0.303414871101188,-3.96888090942418,0.484695866444716,0,0.584557954480771,18858.5,20087.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.116006187809,8.78155910365792,8.28486624522439,-0.303414871103398,-3.96888090941975,0.675796190168373,0,0.192387013009275,20648.5,20784.6,102.169055582851,4.46353923805511,0.498277549076702,-3.61770859065276,0.493350528847931,0,0.58171696669515,18877.1,20095.6,NA,103.010910277815,8.24726721406932,7.19810773365344,-0.303414871096449,-3.96888090937002,0.425207202762545,0,0.680277617094954,18094.1,19385.5,102.140677248814,4.57532917036036,0.498277549100363,-3.6177085906617,0.43328998226937,0,0.677361381800259,18119.5,19402.1,NA,103.197339306996,2.49019367457862,8.7021233659268,-0.303414871103327,-3.96888090941974,0.688805047208842,0,0.160995176943391,20753,20839.7,103.170959920589,2.67330236633589,10.4001829559828,-0.250655431239674,-4.33511225546435,-3.39615290699007,1.11328729581329,0,0.163726540490968,20745.3,20844
"037DAC1","x",23,3,0,23,2.368,0.518,1.352,3.383,"L",2.133,2.623,0,NA,NA,109.351736898887,3.17240116619885,4.76543146643371,0.0122938612937264,-1.90376182615449,0.468849398059097,0,0.227755384347984,15558.5,15611.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.555152893428,3.19905104250552,4.78484173318268,0.0124507604924374,-1.91678740672906,0.455757163705481,0,0.268775912245197,15424.4,15548.9,101.531330394413,4.21098401353445,0.0656591112274318,0.0122938612856464,-1.90376182615254,0.391387273918309,0,0.460371453765536,14803.7,15871.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.5743359501,4.36856530574618,0.345674739449405,0.012293861293758,-1.9037618261545,0.432795264369787,0,0.340148033665772,15164.3,15300.6,101.340610895812,1.0308711486971,0.437234160049695,-1.91131996755572,0.398566192502736,0,0.456631433051717,14820.3,15881.3,NA,101.531663853093,4.04348481842648,-0.191870660789267,0.0122938612922022,-1.90376182615353,0.30909687740962,0,0.663433605412612,13623.2,14845.6,101.433143793859,0.619257905669969,0.437234160078985,-1.91131996762182,0.315412111246209,0,0.659709106863897,13650.2,14865.4,NA,101.555207274741,3.19311535382776,4.78712557863562,0.0122938612937594,-1.90376182615451,0.459018602275463,0,0.257763875733279,15456.1,15542.5,101.558859631763,3.15761048839469,4.35686590425104,0.00503745153473383,-1.83391128150846,0.855937289189398,0.758111207041441,0.26,0.268868883139401,15425.1,15555.6
"038DAC1","x",23,0,0,23,-0.255,0.506,-1.247,0.737,"R",-0.59,0.11,0,"038DAC1",0.65,110.865949223319,-1.52208451443502,1.22549740284197,0.00191718339600467,-0.53387480893933,0.374319069148988,0.15,0.253518964004901,18554.4,18608.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.856005601549,-1.52348926660185,1.21886059479555,0.00191552998483038,-0.533633047380968,0.367824931250659,0.15,0.277704409745336,18452.5,18565.2,102.81117830011,-1.39330178651845,1.75888295269074,0.00191718334765679,-0.533874808844107,0.345869672448434,0.12,0.361266628305131,18220.7,19324.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.860536780648,-2.15151053401195,1.3742525297789,0.00191718339607168,-0.533874808939348,0.364002253194792,0.14,0.292538540174753,18391.2,18531.8,103.101133762592,-1.31810205086634,0.0875410417661361,-0.391133172454567,0.352853524172042,0.27,0.357619197424712,18238.6,19341.8,NA,102.81171292143,-1.9069989487518,1.27232183991842,0.00191718335207538,-0.533874808933356,0.266109817978719,0.04,0.621891502407018,16581.5,17840.9,103.116678891623,-1.39625909442935,0.0875410417488919,-0.391133172360047,0.271854036741826,0.15,0.618692623143802,16606.7,17856.2,NA,102.856004768273,-1.52336852136768,1.21885566080816,0.00191718339609928,-0.533874808939352,0.368663090304962,0.15,0.274305284741864,18463.7,18554.1,102.855613292298,-1.55814543685785,0.804719423453442,0.00270014655953225,-0.464320537148396,0.828281837766969,0.634514697862437,0.19,0.277868042540662,18452.7,18571.6
"039DAC1","x",23,2,0,23,2.143,0.487,1.188,3.097,"L",1.46,2.888,0,"039DAC1",0.55,110.925713367979,-0.307940500144901,3.17308131292517,0.0299723435727767,-2.44636213250547,0.525990385182827,0,0.249378739887155,17472.1,17525.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.079789168748,-0.32661298515458,3.16747179498537,0.0298338527498433,-2.40913364177541,0.496297265682228,0,0.330400811719935,17165,17293.9,102.048090718692,5.53215034427573,-1.35961963432308,0.0299723436594358,-2.44636213256753,0.49135473417762,0,0.343298981569212,17243.3,18177.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.089134726199,5.23907874837806,-1.45143536958281,0.0299723435728249,-2.44636213250557,0.487189296265718,0,0.354386093642945,17067,17206.5,101.565774686582,2.15660429259829,0.455913593056271,-1.90278653488969,0.502808366471446,0,0.333507566294006,17282.1,18205.5,NA,102.053889533708,4.61303881507474,-2.40608093493566,0.0299723436625553,-2.44636213232059,0.368563101292107,0,0.630511345525624,15699,16825.2,101.583790952905,2.05680731187042,0.455913592796641,-1.9027865348225,0.379233570349135,0,0.620856354055675,15768.3,16886.4,NA,102.079711063064,-0.30679190323742,3.1681436199841,0.0299723435728206,-2.44636213250548,0.510620550188503,0,0.290791423954862,17315.5,17403.1,102.071704332048,-0.213269905955698,4.34535977624161,0.0460048957092935,-2.63584946056614,-2.3559695139918,0.819150505999615,0,0.332158700244619,17158.8,17293.2
"047DAC1b","x",23,1,0,23,1.691,0.328,1.048,2.334,"L",1.789,1.584,0,NA,NA,102.33400919735,2.24878681403799,5.77256185572558,0.163235900370484,-1.89627376591504,0.427962593766806,0,0.108066396844146,18890.7,18945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.980473942988,2.27055037116085,5.76330500991964,0.163245754505164,-1.89736220120375,0.425019564391282,0,0.118323742866464,18854.8,18950.9,102.15440676275,-0.696047627877025,-5.54849379253511,0.163235900343257,-1.89627376594245,0.274574974266124,0,0.632018344508468,16320.9,17489.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.084352734157,-0.118049465440484,-4.85456562547886,0.163235900370503,-1.89627376591507,0.372355280565551,0,0.323263968730055,18042.7,18180.7,101.730197228151,1.58983178767485,0.561180768804845,-1.7800403045516,0.282035195023288,0,0.622390561426174,16399.3,17558,NA,102.157121075694,-0.580899291330307,-5.58939849814504,0.163235900365219,-1.89627376591133,0.263333901054089,0,0.66153184700333,16073.9,17319.2,101.720288691746,1.64759585653035,0.561180768812202,-1.78004030450786,0.270790291453596,0,0.651901295951055,16159.5,17396.3,NA,101.980478907381,2.27000048302654,5.76330681883066,0.163235900370519,-1.89627376591512,0.425367248253614,0,0.116854294856497,18857.8,18940.9,101.978010797349,2.29828374334541,6.04885333441193,0.168172053327997,-1.95282548850836,-0.571101662895633,0.70015874555657,0.41,0.11823075080657,18856.1,18958.3
"049DAC1","x",23,2,0,23,2.388,0.534,1.342,3.435,"L",3.786,0.864,0,NA,NA,108.255205606602,-0.286524518684452,7.4954909870287,-0.159904953090437,-2.18295428936646,0.597611155617667,0,0.170650096315423,18093.9,18147.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.762703448417,-0.335935173862528,7.4879126973646,-0.159917729673592,-2.18060014244321,0.588014719760035,0,0.195062148121458,18012.8,18109.7,102.779470017203,-5.54473773438273,-4.01408877166593,-0.159904953060438,-2.1829542894213,0.394850899935368,0,0.637019825489466,16010.2,17154.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.899238281382,-5.68183659097201,-4.22272345197666,-0.159904953090495,-2.18295428936645,0.562475059044063,0,0.263414473988748,17778,17918.3,103.002567460822,-1.26605763066992,0.184272206756969,-1.56147138912671,0.404579056664189,0,0.631246221256879,16050.6,17177.9,NA,102.793734192547,-6.74890285002763,-5.57064038834625,-0.159904953101999,-2.18295428935385,0.325137569101927,0,0.753877708708177,14961.1,16174.1,102.876713741911,-0.742641679160941,0.184272206718555,-1.56147138913877,0.334913351942804,0,0.747306187310471,15031.6,16235.9,NA,102.762697059599,-0.334758072854998,7.48791273844294,-0.159904953090444,-2.18295428936647,0.58800692204477,0,0.195026621340955,18011.3,18098.8,102.737517872089,-0.0905040793581249,10.0859149356534,-0.109546076782375,-2.67149037786709,-5.19604238099592,0.963149122368137,0,0.203331469997633,17985.6,18088.7
